Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OR
Oregon,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,VOLKSWAGEN,E-GOLF,2019,Battery Electric Vehicle (BEV),125,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,OR
Oregon,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,2018,Battery Electric Vehicle (BEV),58,OR
Oregon,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,OR
Oregon,JAGUAR,I-PACE,2020,Battery Electric Vehicle (BEV),234,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,OR
Oregon,BMW,I3,2018,Battery Electric Vehicle (BEV),114,OR
Oregon,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,OR
Oregon,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,OR
Oregon,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,BMW,I3,2017,Plug-in Hybrid Electric Vehicle (PHEV),97,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,FORD,FOCUS,2016,Battery Electric Vehicle (BEV),76,OR
Oregon,KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,OR
Oregon,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,OR
Oregon,HYUNDAI,SONATA,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,CHEVROLET,BOLT,2018,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,TOYOTA,PRIUS PRIME,2018,Plug-in Hybrid Electric Vehicle (PHEV),25,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,OR
Oregon,FIAT,500E,2013,Battery Electric Vehicle (BEV),87,OR
Oregon,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,OR
Oregon,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,OR
Oregon,KIA,NIRO,2018,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,BMW,I8 COUPE,2015,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,MINI,COOPER,2021,Battery Electric Vehicle (BEV),110,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,OR
Oregon,BMW,I3 WITH RANGE EXTENDER,2018,Plug-in Hybrid Electric Vehicle (PHEV),97,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TOYOTA,PRIUS PRIME,2019,Plug-in Hybrid Electric Vehicle (PHEV),25,OR
Oregon,FORD,FUSION ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OR
Oregon,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,OR
Oregon,FORD,C-MAX ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,HONDA,CLARITY,2018,Plug-in Hybrid Electric Vehicle (PHEV),47,OR
Oregon,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,BMW,I3,2016,Plug-in Hybrid Electric Vehicle (PHEV),72,OR
Oregon,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,CHEVROLET,VOLT,2015,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,OR
Oregon,BMW,I3S,2018,Battery Electric Vehicle (BEV),114,OR
Oregon,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,VOLT,2016,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OR
Oregon,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,FIAT,500E,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,MINI,COOPER SE COUNTRYMAN ALL4,2019,Plug-in Hybrid Electric Vehicle (PHEV),12,OR
Oregon,SUBARU,CROSSTREK HYBRID AWD,2019,Plug-in Hybrid Electric Vehicle (PHEV),17,OR
Oregon,CHRYSLER,PACIFICA,2017,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,FORD,C-MAX ENERGI,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,OR
Oregon,PORSCHE,CAYENNE,2019,Plug-in Hybrid Electric Vehicle (PHEV),13,OR
Oregon,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,VOLVO,XC60 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),17,OR
Oregon,VOLVO,XC60 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),17,OR
Oregon,KIA,SOUL,2017,Battery Electric Vehicle (BEV),93,OR
Oregon,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),289,OR
Oregon,LINCOLN,AVIATOR,2020,Plug-in Hybrid Electric Vehicle (PHEV),21,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,OR
Oregon,MITSUBISHI,I-MIEV,2012,Battery Electric Vehicle (BEV),62,OR
Oregon,FORD,C-MAX ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,OR
Oregon,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,VOLKSWAGEN,E-GOLF,2015,Battery Electric Vehicle (BEV),83,OR
Oregon,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OR
Oregon,FORD,FUSION ENERGI PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,OR
Oregon,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,OR
Oregon,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),293,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,OR
Oregon,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,MINI,COOPER SE COUNTRYMAN ALL4,2019,Plug-in Hybrid Electric Vehicle (PHEV),12,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,VOLVO,XC90 AWD PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),17,OR
Oregon,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,VOLVO,XC90 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OR
Oregon,VOLKSWAGEN,E-GOLF,2019,Battery Electric Vehicle (BEV),125,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OR
Oregon,FIAT,500E,2015,Battery Electric Vehicle (BEV),87,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,CHEVROLET,BOLT EV,2020,Battery Electric Vehicle (BEV),259,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,OR
Oregon,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,OR
Oregon,TOYOTA,PRIUS,2013,Plug-in Hybrid Electric Vehicle (PHEV),6,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,VOLVO,XC90 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,KIA,NIRO,2018,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,ROADSTER,2011,Battery Electric Vehicle (BEV),245,OR
Oregon,TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,OR
Oregon,MITSUBISHI,OUTLANDER,2018,Plug-in Hybrid Electric Vehicle (PHEV),22,OR
Oregon,FORD,C-MAX ENERGI,2015,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,BMW,I3,2017,Battery Electric Vehicle (BEV),81,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OR
Oregon,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,FORD,C-MAX ENERGI,2015,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,OR
Oregon,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,OR
Oregon,PORSCHE,CAYENNE,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,FORD,FUSION ENERGI,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,OR
Oregon,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,AUDI,A3 E-TRON,2016,Plug-in Hybrid Electric Vehicle (PHEV),16,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OR
Oregon,JAGUAR,I-PACE,2020,Battery Electric Vehicle (BEV),234,OR
Oregon,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),293,OR
Oregon,VOLKSWAGEN,E-GOLF,2015,Battery Electric Vehicle (BEV),83,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TESLA,MODEL S,2019,Battery Electric Vehicle (BEV),270,OR
Oregon,VOLVO,XC90 AWD,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,NISSAN,LEAF,2020,Battery Electric Vehicle (BEV),149,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,PORSCHE,PANAMERA,2014,Plug-in Hybrid Electric Vehicle (PHEV),15,OR
Oregon,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OR
Oregon,TOYOTA,PRIUS,2013,Plug-in Hybrid Electric Vehicle (PHEV),6,OR
Oregon,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,VOLVO,XC90 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,OR
Oregon,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,PORSCHE,PANAMERA,2018,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OR
Oregon,TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,OR
Oregon,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OR
Oregon,CHRYSLER,PACIFICA,2017,Plug-in Hybrid Electric Vehicle (PHEV),33,OR
Oregon,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,OR
Oregon,BMW,I3,2017,Plug-in Hybrid Electric Vehicle (PHEV),97,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,OR
Oregon,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,OR
Oregon,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OR
Oregon,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OR
Oregon,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,OR
Oregon,VOLVO,XC90 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),19,OR
Oregon,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,OR
Oregon,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
Oregon,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,VOLKSWAGEN,E-GOLF,2015,Battery Electric Vehicle (BEV),83,OR
Oregon,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OR
Oregon,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,OR
Oregon,CHEVROLET,VOLT,2015,Plug-in Hybrid Electric Vehicle (PHEV),38,OR
Oregon,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,OR
Oregon,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OR
